ICD10_diagnosis_code	trait_description	phecode	Inclusion/Exclusion	phenotype
J47.1	Bronchiectasis with (acute) exacerbation	496.3	Exclusion	Asthma
J47.9	Bronchiectasis, uncomplicated	496.3	Exclusion	Asthma
J98.01	Acute bronchospasm	498	Exclusion	Asthma
I48.0	Paroxysmal atrial fibrillation	427.21	Inclusion	Atrial fibrillation (AFib)
I48.1	Persistent atrial fibrillation	427.22	Inclusion	Atrial fibrillation (AFib)
I48.11	Longstanding persistent atrial fibrillation	427.22	Inclusion	Atrial fibrillation (AFib)
I48.19	Other persistent atrial fibrillation	427.22	Inclusion	Atrial fibrillation (AFib)
I48.2	Chronic atrial fibrillation	427.21	Inclusion	Atrial fibrillation (AFib)
I48.20	…… unspecified	427.21	Inclusion	Atrial fibrillation (AFib)
I48.21	Permanent atrial fibrillation	427.21	Inclusion	Atrial fibrillation (AFib)
I48.91	Unspecified atrial fibrillation	427.22	Inclusion	Atrial fibrillation (AFib)
I44.0	Atrioventricular block, first degree	426.21	Exclusion	Atrial fibrillation (AFib)
I44.1	Atrioventricular block, second degree	426.23	Exclusion	Atrial fibrillation (AFib)
I44.2	Atrioventricular block, complete	426.24	Exclusion	Atrial fibrillation (AFib)
I44.3	Other and unspecified atrioventricular block	426.2	Exclusion	Atrial fibrillation (AFib)
I44.30	Unspecified atrioventricular block	426.2	Exclusion	Atrial fibrillation (AFib)
I44.39	Other atrioventricular block	426.3	Exclusion	Atrial fibrillation (AFib)
I44.4	Left anterior fascicular block	426.32	Exclusion	Atrial fibrillation (AFib)
I44.5	Left posterior fascicular block	426.32	Exclusion	Atrial fibrillation (AFib)
I44.6	Other and unspecified fascicular block	426.32	Exclusion	Atrial fibrillation (AFib)
I44.60	Unspecified fascicular block	426.32	Exclusion	Atrial fibrillation (AFib)
I44.69	Other fascicular block	426.32	Exclusion	Atrial fibrillation (AFib)
I44.7	Left bundle-branch block, unspecified	426.32	Exclusion	Atrial fibrillation (AFib)
I45.0	Right fascicular block	426.31	Exclusion	Atrial fibrillation (AFib)
I45.1	Other and unspecified right bundle-branch block	426.31	Exclusion	Atrial fibrillation (AFib)
I45.10	Unspecified right bundle-branch block	426.31	Exclusion	Atrial fibrillation (AFib)
I45.19	Other right bundle-branch block	426.31	Exclusion	Atrial fibrillation (AFib)
I45.2	Bifascicular block	426.3	Exclusion	Atrial fibrillation (AFib)
I45.3	Trifascicular block	426.3	Exclusion	Atrial fibrillation (AFib)
I45.4	Nonspecific intraventricular block	426.3	Exclusion	Atrial fibrillation (AFib)
I45.5	Other specified heart block	426.25	Exclusion	Atrial fibrillation (AFib)
I45.6	Pre-excitation syndrome	426.4	Exclusion	Atrial fibrillation (AFib)
I45.8	Other specified conduction disorders	426.8	Exclusion	Atrial fibrillation (AFib)
I45.81	Long QT syndrome	426.8	Exclusion	Atrial fibrillation (AFib)
I45.89	Other specified conduction disorders	426.8	Exclusion	Atrial fibrillation (AFib)
I45.9	Conduction disorder, unspecified	426	Exclusion	Atrial fibrillation (AFib)
I46	Cardiac arrest	427.42	Exclusion	Atrial fibrillation (AFib)
I46.2	Cardiac arrest due to underlying cardiac condition	427.42	Exclusion	Atrial fibrillation (AFib)
I46.8	Cardiac arrest due to other underlying condition	427.42	Exclusion	Atrial fibrillation (AFib)
I46.9	Cardiac arrest, cause unspecified	427.42	Exclusion	Atrial fibrillation (AFib)
I47	Paroxysmal tachycardia	427.1	Exclusion	Atrial fibrillation (AFib)
I47.0	Re-entry ventricular arrhythmia	427.12	Exclusion	Atrial fibrillation (AFib)
I47.1	Supraventricular tachycardia	427.11	Exclusion	Atrial fibrillation (AFib)
I47.2	Ventricular tachycardia	427.12	Exclusion	Atrial fibrillation (AFib)
I47.9	Paroxysmal tachycardia, unspecified	427.1	Exclusion	Atrial fibrillation (AFib)
I48	Atrial fibrillation and flutter	427.2	Exclusion	Atrial fibrillation (AFib)
I48.0	Paroxysmal atrial fibrillation	427.21	Exclusion	Atrial fibrillation (AFib)
I48.1	Persistent atrial fibrillation	427.22	Exclusion	Atrial fibrillation (AFib)
I48.11	Longstanding persistent atrial fibrillation	427.22	Exclusion	Atrial fibrillation (AFib)
I48.19	Other persistent atrial fibrillation	427.22	Exclusion	Atrial fibrillation (AFib)
I48.2	Chronic atrial fibrillation	427.21	Exclusion	Atrial fibrillation (AFib)
I48.20	…… unspecified	427.21	Exclusion	Atrial fibrillation (AFib)
I48.21	Permanent atrial fibrillation	427.21	Exclusion	Atrial fibrillation (AFib)
I48.3	Typical atrial flutter	427.22	Exclusion	Atrial fibrillation (AFib)
I48.4	Atypical atrial flutter	427.22	Exclusion	Atrial fibrillation (AFib)
I48.9	Unspecified atrial fibrillation and atrial flutter	427.21	Exclusion	Atrial fibrillation (AFib)
I48.91	Unspecified atrial fibrillation	427.21	Exclusion	Atrial fibrillation (AFib)
I48.92	Unspecified atrial flutter	427.22	Exclusion	Atrial fibrillation (AFib)
I49.0	Ventricular fibrillation and flutter	427.41	Exclusion	Atrial fibrillation (AFib)
I49.01	Ventricular fibrillation	427.41	Exclusion	Atrial fibrillation (AFib)
I49.02	Ventricular flutter	427.41	Exclusion	Atrial fibrillation (AFib)
I49.1	Atrial premature depolarization	427.61	Exclusion	Atrial fibrillation (AFib)
I49.2	Junctional premature depolarization	427.11	Exclusion	Atrial fibrillation (AFib)
I49.3	Ventricular premature depolarization	427.6	Exclusion	Atrial fibrillation (AFib)
I49.4	Other and unspecified premature depolarization	427.6	Exclusion	Atrial fibrillation (AFib)
I49.40	Unspecified premature depolarization	427.6	Exclusion	Atrial fibrillation (AFib)
I49.49	Other premature depolarization	427.6	Exclusion	Atrial fibrillation (AFib)
I49.5	Sick sinus syndrome	427.8	Exclusion	Atrial fibrillation (AFib)
I49.8	Other specified cardiac arrhythmias	427.3	Exclusion	Atrial fibrillation (AFib)
I49.9	Cardiac arrhythmia, unspecified	427.5	Exclusion	Atrial fibrillation (AFib)
R00.0	Tachycardia, unspecified	427.7	Exclusion	Atrial fibrillation (AFib)
R00.1	Bradycardia, unspecified	427.3	Exclusion	Atrial fibrillation (AFib)
R00.2	Palpitations	427.9	Exclusion	Atrial fibrillation (AFib)
R94.31	Abnormal electrocardiogram [ECG] [EKG]	426.7	Exclusion	Atrial fibrillation (AFib)
Z86.74	Personal history of sudden cardiac arrest	427.42	Exclusion	Atrial fibrillation (AFib)
Z95.0	Presence of cardiac pacemaker	426.91	Exclusion	Atrial fibrillation (AFib)
Z95.810	Presence of automatic (implantable) cardiac defibrillator	426.92	Exclusion	Atrial fibrillation (AFib)
Z95.9	Presence of cardiac and vascular implant and graft, unspecified	426.9	Exclusion	Atrial fibrillation (AFib)
C50.	Malignant neoplasm of breast	174.11	Inclusion	Breast cancer (BC)
C50.01	Malignant neoplasm of nipple and areola, female	174.11	Inclusion	Breast cancer (BC)
C50.011	Malignant neoplasm of nipple and areola, right female breast	174.11	Inclusion	Breast cancer (BC)
C50.012	Malignant neoplasm of nipple and areola, left female breast	174.11	Inclusion	Breast cancer (BC)
C50.019	Malignant neoplasm of nipple and areola, unspecified female breast	174.11	Inclusion	Breast cancer (BC)
C50.11	Malignant neoplasm of central portion of breast, female	174.11	Inclusion	Breast cancer (BC)
C50.111	Malignant neoplasm of central portion of right female breast	174.11	Inclusion	Breast cancer (BC)
C50.112	Malignant neoplasm of central portion of left female breast	174.11	Inclusion	Breast cancer (BC)
C50.119	Malignant neoplasm of central portion of unspecified female breast	174.11	Inclusion	Breast cancer (BC)
C50.21	Malignant neoplasm of upper-inner quadrant of breast, female	174.11	Inclusion	Breast cancer (BC)
C50.211	Malignant neoplasm of upper-inner quadrant of right female breast	174.11	Inclusion	Breast cancer (BC)
C50.212	Malignant neoplasm of upper-inner quadrant of left female breast	174.11	Inclusion	Breast cancer (BC)
C50.219	Malignant neoplasm of upper-inner quadrant of unspecified female breast	174.11	Inclusion	Breast cancer (BC)
C50.31	Malignant neoplasm of lower-inner quadrant of breast, female	174.11	Inclusion	Breast cancer (BC)
C50.311	Malignant neoplasm of lower-inner quadrant of right female breast	174.11	Inclusion	Breast cancer (BC)
C50.312	Malignant neoplasm of lower-inner quadrant of left female breast	174.11	Inclusion	Breast cancer (BC)
C50.319	Malignant neoplasm of lower-inner quadrant of unspecified female breast	174.11	Inclusion	Breast cancer (BC)
C50.41	Malignant neoplasm of upper-outer quadrant of breast, female	174.11	Inclusion	Breast cancer (BC)
C50.411	Malignant neoplasm of upper-outer quadrant of right female breast	174.11	Inclusion	Breast cancer (BC)
C50.412	Malignant neoplasm of upper-outer quadrant of left female breast	174.11	Inclusion	Breast cancer (BC)
C50.419	Malignant neoplasm of upper-outer quadrant of unspecified female breast	174.11	Inclusion	Breast cancer (BC)
C50.51	Malignant neoplasm of lower-outer quadrant of breast, female	174.11	Inclusion	Breast cancer (BC)
C50.511	Malignant neoplasm of lower-outer quadrant of right female breast	174.11	Inclusion	Breast cancer (BC)
C50.512	Malignant neoplasm of lower-outer quadrant of left female breast	174.11	Inclusion	Breast cancer (BC)
C50.519	Malignant neoplasm of lower-outer quadrant of unspecified female breast	174.11	Inclusion	Breast cancer (BC)
C50.61	Malignant neoplasm of axillary tail of breast, female	174.11	Inclusion	Breast cancer (BC)
C50.611	Malignant neoplasm of axillary tail of right female breast	174.11	Inclusion	Breast cancer (BC)
C50.612	Malignant neoplasm of axillary tail of left female breast	174.11	Inclusion	Breast cancer (BC)
C50.619	Malignant neoplasm of axillary tail of unspecified female breast	174.11	Inclusion	Breast cancer (BC)
C50.8	Malignant neoplasm of overlapping sites of breast	174.11	Inclusion	Breast cancer (BC)
C50.81	Malignant neoplasm of overlapping sites of breast, female	174.11	Inclusion	Breast cancer (BC)
C50.811	Malignant neoplasm of overlapping sites of right female breast	174.11	Inclusion	Breast cancer (BC)
C50.812	Malignant neoplasm of overlapping sites of left female breast	174.11	Inclusion	Breast cancer (BC)
C50.819	Malignant neoplasm of overlapping sites of unspecified female breast	174.11	Inclusion	Breast cancer (BC)
C50.91	Malignant neoplasm of breast of unspecified site, female	174.11	Inclusion	Breast cancer (BC)
C50.911	Malignant neoplasm of unspecified site of right female breast	174.11	Inclusion	Breast cancer (BC)
C50.912	Malignant neoplasm of unspecified site of left female breast	174.11	Inclusion	Breast cancer (BC)
C50.919	Malignant neoplasm of unspecified site of unspecified female breast	174.11	Inclusion	Breast cancer (BC)
D05.	Carcinoma in situ of breast	174.1	Inclusion	Breast cancer (BC)
D05.0	Lobular carcinoma in situ of breast	174.1	Inclusion	Breast cancer (BC)
D05.00	Lobular carcinoma in situ of unspecified breast	174.1	Inclusion	Breast cancer (BC)
D05.01	Lobular carcinoma in situ of right breast	174.1	Inclusion	Breast cancer (BC)
D05.02	Lobular carcinoma in situ of left breast	174.1	Inclusion	Breast cancer (BC)
D05.1	Intraductal carcinoma in situ of breast	174.1	Inclusion	Breast cancer (BC)
D05.10	Intraductal carcinoma in situ of unspecified breast	174.1	Inclusion	Breast cancer (BC)
D05.11	Intraductal carcinoma in situ of right breast	174.1	Inclusion	Breast cancer (BC)
D05.12	Intraductal carcinoma in situ of left breast	174.1	Inclusion	Breast cancer (BC)
D05.8	Other specified type of carcinoma in situ of breast	174.1	Inclusion	Breast cancer (BC)
D05.80	Other specified type of carcinoma in situ of unspecified breast	174.1	Inclusion	Breast cancer (BC)
D05.81	Other specified type of carcinoma in situ of right breast	174.1	Inclusion	Breast cancer (BC)
D05.82	Other specified type of carcinoma in situ of left breast	174.1	Inclusion	Breast cancer (BC)
D05.9	Unspecified type of carcinoma in situ of breast	174.1	Inclusion	Breast cancer (BC)
D05.90	Unspecified type of carcinoma in situ of unspecified breast	174.1	Inclusion	Breast cancer (BC)
D05.91	Unspecified type of carcinoma in situ of right breast	174.1	Inclusion	Breast cancer (BC)
D05.92	Unspecified type of carcinoma in situ of left breast	174.1	Inclusion	Breast cancer (BC)
D48.6	Neoplasm of uncertain behavior of breast	174.3	Inclusion	Breast cancer (BC)
D48.60	Neoplasm of uncertain behavior of unspecified breast	174.3	Inclusion	Breast cancer (BC)
D48.61	Neoplasm of uncertain behavior of right breast	174.3	Inclusion	Breast cancer (BC)
D48.62	Neoplasm of uncertain behavior of left breast	174.3	Inclusion	Breast cancer (BC)
D49.3	Neoplasm of unspecified behavior of breast	174.3	Inclusion	Breast cancer (BC)
Z85.3	Personal history of malignant neoplasm of breast	174	Inclusion	Breast cancer (BC)
C50	Malignant neoplasm of breast	174.11	Exclusion	Breast cancer (BC)
C50.01	Malignant neoplasm of nipple and areola, female	174.11	Exclusion	Breast cancer (BC)
C50.011	Malignant neoplasm of nipple and areola, right female breast	174.11	Exclusion	Breast cancer (BC)
C50.012	Malignant neoplasm of nipple and areola, left female breast	174.11	Exclusion	Breast cancer (BC)
C50.019	Malignant neoplasm of nipple and areola, unspecified female breast	174.11	Exclusion	Breast cancer (BC)
C50.02	Malignant neoplasm of nipple and areola, male	174.2	Exclusion	Breast cancer (BC)
C50.021	Malignant neoplasm of nipple and areola, right male breast	174.2	Exclusion	Breast cancer (BC)
C50.022	Malignant neoplasm of nipple and areola, left male breast	174.2	Exclusion	Breast cancer (BC)
C50.029	Malignant neoplasm of nipple and areola, unspecified male breast	174.2	Exclusion	Breast cancer (BC)
C50.11	Malignant neoplasm of central portion of breast, female	174.11	Exclusion	Breast cancer (BC)
C50.111	Malignant neoplasm of central portion of right female breast	174.11	Exclusion	Breast cancer (BC)
C50.112	Malignant neoplasm of central portion of left female breast	174.11	Exclusion	Breast cancer (BC)
C50.119	Malignant neoplasm of central portion of unspecified female breast	174.11	Exclusion	Breast cancer (BC)
C50.12	Malignant neoplasm of central portion of breast, male	174.2	Exclusion	Breast cancer (BC)
C50.121	Malignant neoplasm of central portion of right male breast	174.2	Exclusion	Breast cancer (BC)
C50.122	Malignant neoplasm of central portion of left male breast	174.2	Exclusion	Breast cancer (BC)
C50.129	Malignant neoplasm of central portion of unspecified male breast	174.2	Exclusion	Breast cancer (BC)
C50.21	Malignant neoplasm of upper-inner quadrant of breast, female	174.11	Exclusion	Breast cancer (BC)
C50.211	Malignant neoplasm of upper-inner quadrant of right female breast	174.11	Exclusion	Breast cancer (BC)
C50.212	Malignant neoplasm of upper-inner quadrant of left female breast	174.11	Exclusion	Breast cancer (BC)
C50.219	Malignant neoplasm of upper-inner quadrant of unspecified female breast	174.11	Exclusion	Breast cancer (BC)
C50.22	Malignant neoplasm of upper-inner quadrant of breast, male	174.2	Exclusion	Breast cancer (BC)
C50.221	Malignant neoplasm of upper-inner quadrant of right male breast	174.2	Exclusion	Breast cancer (BC)
C50.222	Malignant neoplasm of upper-inner quadrant of left male breast	174.2	Exclusion	Breast cancer (BC)
C50.229	Malignant neoplasm of upper-inner quadrant of unspecified male breast	174.2	Exclusion	Breast cancer (BC)
C50.31	Malignant neoplasm of lower-inner quadrant of breast, female	174.11	Exclusion	Breast cancer (BC)
C50.311	Malignant neoplasm of lower-inner quadrant of right female breast	174.11	Exclusion	Breast cancer (BC)
C50.312	Malignant neoplasm of lower-inner quadrant of left female breast	174.11	Exclusion	Breast cancer (BC)
C50.319	Malignant neoplasm of lower-inner quadrant of unspecified female breast	174.11	Exclusion	Breast cancer (BC)
C50.32	Malignant neoplasm of lower-inner quadrant of breast, male	174.2	Exclusion	Breast cancer (BC)
C50.321	Malignant neoplasm of lower-inner quadrant of right male breast	174.2	Exclusion	Breast cancer (BC)
C50.322	Malignant neoplasm of lower-inner quadrant of left male breast	174.2	Exclusion	Breast cancer (BC)
C50.329	Malignant neoplasm of lower-inner quadrant of unspecified male breast	174.2	Exclusion	Breast cancer (BC)
C50.41	Malignant neoplasm of upper-outer quadrant of breast, female	174.11	Exclusion	Breast cancer (BC)
C50.411	Malignant neoplasm of upper-outer quadrant of right female breast	174.11	Exclusion	Breast cancer (BC)
C50.412	Malignant neoplasm of upper-outer quadrant of left female breast	174.11	Exclusion	Breast cancer (BC)
C50.419	Malignant neoplasm of upper-outer quadrant of unspecified female breast	174.11	Exclusion	Breast cancer (BC)
C50.42	Malignant neoplasm of upper-outer quadrant of breast, male	174.2	Exclusion	Breast cancer (BC)
C50.421	Malignant neoplasm of upper-outer quadrant of right male breast	174.2	Exclusion	Breast cancer (BC)
C50.422	Malignant neoplasm of upper-outer quadrant of left male breast	174.2	Exclusion	Breast cancer (BC)
C50.429	Malignant neoplasm of upper-outer quadrant of unspecified male breast	174.2	Exclusion	Breast cancer (BC)
C50.51	Malignant neoplasm of lower-outer quadrant of breast, female	174.11	Exclusion	Breast cancer (BC)
C50.511	Malignant neoplasm of lower-outer quadrant of right female breast	174.11	Exclusion	Breast cancer (BC)
C50.512	Malignant neoplasm of lower-outer quadrant of left female breast	174.11	Exclusion	Breast cancer (BC)
C50.519	Malignant neoplasm of lower-outer quadrant of unspecified female breast	174.11	Exclusion	Breast cancer (BC)
C50.52	Malignant neoplasm of lower-outer quadrant of breast, male	174.2	Exclusion	Breast cancer (BC)
C50.521	Malignant neoplasm of lower-outer quadrant of right male breast	174.2	Exclusion	Breast cancer (BC)
C50.522	Malignant neoplasm of lower-outer quadrant of left male breast	174.2	Exclusion	Breast cancer (BC)
C50.529	Malignant neoplasm of lower-outer quadrant of unspecified male breast	174.2	Exclusion	Breast cancer (BC)
C50.61	Malignant neoplasm of axillary tail of breast, female	174.11	Exclusion	Breast cancer (BC)
C50.611	Malignant neoplasm of axillary tail of right female breast	174.11	Exclusion	Breast cancer (BC)
C50.612	Malignant neoplasm of axillary tail of left female breast	174.11	Exclusion	Breast cancer (BC)
C50.619	Malignant neoplasm of axillary tail of unspecified female breast	174.11	Exclusion	Breast cancer (BC)
C50.62	Malignant neoplasm of axillary tail of breast, male	174.2	Exclusion	Breast cancer (BC)
C50.621	Malignant neoplasm of axillary tail of right male breast	174.2	Exclusion	Breast cancer (BC)
C50.622	Malignant neoplasm of axillary tail of left male breast	174.2	Exclusion	Breast cancer (BC)
C50.629	Malignant neoplasm of axillary tail of unspecified male breast	174.2	Exclusion	Breast cancer (BC)
C50.8	Malignant neoplasm of overlapping sites of breast	174.11	Exclusion	Breast cancer (BC)
C50.81	Malignant neoplasm of overlapping sites of breast, female	174.11	Exclusion	Breast cancer (BC)
C50.811	Malignant neoplasm of overlapping sites of right female breast	174.11	Exclusion	Breast cancer (BC)
C50.812	Malignant neoplasm of overlapping sites of left female breast	174.11	Exclusion	Breast cancer (BC)
C50.819	Malignant neoplasm of overlapping sites of unspecified female breast	174.11	Exclusion	Breast cancer (BC)
C50.82	Malignant neoplasm of overlapping sites of breast, male	174.2	Exclusion	Breast cancer (BC)
C50.821	Malignant neoplasm of overlapping sites of right male breast	174.2	Exclusion	Breast cancer (BC)
C50.822	Malignant neoplasm of overlapping sites of left male breast	174.2	Exclusion	Breast cancer (BC)
C50.829	Malignant neoplasm of overlapping sites of unspecified male breast	174.2	Exclusion	Breast cancer (BC)
C50.91	Malignant neoplasm of breast of unspecified site, female	174.11	Exclusion	Breast cancer (BC)
C50.911	Malignant neoplasm of unspecified site of right female breast	174.11	Exclusion	Breast cancer (BC)
C50.912	Malignant neoplasm of unspecified site of left female breast	174.11	Exclusion	Breast cancer (BC)
C50.919	Malignant neoplasm of unspecified site of unspecified female breast	174.11	Exclusion	Breast cancer (BC)
C50.92	Malignant neoplasm of breast of unspecified site, male	174.2	Exclusion	Breast cancer (BC)
C50.921	Malignant neoplasm of unspecified site of right male breast	174.2	Exclusion	Breast cancer (BC)
C50.922	Malignant neoplasm of unspecified site of left male breast	174.2	Exclusion	Breast cancer (BC)
C50.929	Malignant neoplasm of unspecified site of unspecified male breast	174.2	Exclusion	Breast cancer (BC)
C51	Malignant neoplasm of vulva	184.2	Exclusion	Breast cancer (BC)
C51.0	Malignant neoplasm of labium majus	184.2	Exclusion	Breast cancer (BC)
C51.1	Malignant neoplasm of labium minus	184.2	Exclusion	Breast cancer (BC)
C51.2	Malignant neoplasm of clitoris	184.2	Exclusion	Breast cancer (BC)
C51.8	Malignant neoplasm of overlapping sites of vulva	184.1	Exclusion	Breast cancer (BC)
C51.9	Malignant neoplasm of vulva, unspecified	184.2	Exclusion	Breast cancer (BC)
C52	Malignant neoplasm of vagina	184.2	Exclusion	Breast cancer (BC)
C53	Malignant neoplasm of cervix uteri	180.1	Exclusion	Breast cancer (BC)
C53.0	Malignant neoplasm of endocervix	180.1	Exclusion	Breast cancer (BC)
C53.1	Malignant neoplasm of exocervix	180.1	Exclusion	Breast cancer (BC)
C53.8	Malignant neoplasm of overlapping sites of cervix uteri	180.1	Exclusion	Breast cancer (BC)
C53.9	Malignant neoplasm of cervix uteri, unspecified	180.1	Exclusion	Breast cancer (BC)
C54	Malignant neoplasm of corpus uteri	182	Exclusion	Breast cancer (BC)
C54.0	Malignant neoplasm of isthmus uteri	182	Exclusion	Breast cancer (BC)
C54.1	Malignant neoplasm of endometrium	182	Exclusion	Breast cancer (BC)
C54.2	Malignant neoplasm of myometrium	182	Exclusion	Breast cancer (BC)
C54.3	Malignant neoplasm of fundus uteri	182	Exclusion	Breast cancer (BC)
C54.8	Malignant neoplasm of overlapping sites of corpus uteri	182	Exclusion	Breast cancer (BC)
C54.9	Malignant neoplasm of corpus uteri, unspecified	182	Exclusion	Breast cancer (BC)
C55	Malignant neoplasm of uterus, part unspecified	182	Exclusion	Breast cancer (BC)
C56	Malignant neoplasm of ovary	184.11	Exclusion	Breast cancer (BC)
C56.1	Malignant neoplasm of right ovary	184.11	Exclusion	Breast cancer (BC)
C56.2	Malignant neoplasm of left ovary	184.11	Exclusion	Breast cancer (BC)
C56.9	Malignant neoplasm of unspecified ovary	184.11	Exclusion	Breast cancer (BC)
C57	Malignant neoplasm of other and unspecified female genital organs	184.1	Exclusion	Breast cancer (BC)
C57.0	Malignant neoplasm of fallopian tube	184.1	Exclusion	Breast cancer (BC)
C57.00	Malignant neoplasm of unspecified fallopian tube	184.1	Exclusion	Breast cancer (BC)
C57.01	Malignant neoplasm of right fallopian tube	184.1	Exclusion	Breast cancer (BC)
C57.02	Malignant neoplasm of left fallopian tube	184.1	Exclusion	Breast cancer (BC)
C57.1	Malignant neoplasm of broad ligament	184.1	Exclusion	Breast cancer (BC)
C57.10	Malignant neoplasm of unspecified broad ligament	184.1	Exclusion	Breast cancer (BC)
C57.11	Malignant neoplasm of right broad ligament	184.1	Exclusion	Breast cancer (BC)
C57.12	Malignant neoplasm of left broad ligament	184.1	Exclusion	Breast cancer (BC)
C57.2	Malignant neoplasm of round ligament	184.1	Exclusion	Breast cancer (BC)
C57.20	Malignant neoplasm of unspecified round ligament	184.1	Exclusion	Breast cancer (BC)
C57.21	Malignant neoplasm of right round ligament	184.1	Exclusion	Breast cancer (BC)
C57.22	Malignant neoplasm of left round ligament	184.1	Exclusion	Breast cancer (BC)
C57.3	Malignant neoplasm of parametrium	184.1	Exclusion	Breast cancer (BC)
C57.4	Malignant neoplasm of uterine adnexa, unspecified	184.1	Exclusion	Breast cancer (BC)
